TERRITORIO#en,TERRITORIO#es,TERRITORIO_CODE,TIME_PERIOD#en,TIME_PERIOD#es,TIME_PERIOD_CODE,TIPO_ALOJAMIENTO#en,TIPO_ALOJAMIENTO#es,TIPO_ALOJAMIENTO_CODE,MEDIDAS#en,MEDIDAS#es,MEDIDAS_CODE,PAIS_RESIDENCIA#en,PAIS_RESIDENCIA#es,PAIS_RESIDENCIA_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#en,CONFIDENCIALIDAD_OBSERVACION#es,NOTAS_OBSERVACION,ESTADO_OBSERVACION#en,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE
Canary Islands,Canarias,ES70,2025,2025,2025,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Germany,Alemania,DE,195423,,,,,,
Canary Islands,Canarias,ES70,2018 First quarter,2018 Primer trimestre,2018-Q1,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,195352,,,,,,
Canary Islands,Canarias,ES70,2018 Second quarter,2018 Segundo trimestre,2018-Q2,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,205501,,,,,,
Canary Islands,Canarias,ES70,2018 Third quarter,2018 Tercer trimestre,2018-Q3,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,205205,,,,,,
Canary Islands,Canarias,ES70,2018 Fourth quarter,2018 Cuarto trimestre,2018-Q4,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,262943,,,,,,
Canary Islands,Canarias,ES70,2018,2018,2018,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,869001,,,,,,
Canary Islands,Canarias,ES70,2019 First quarter,2019 Primer trimestre,2019-Q1,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,261483,,,,,,
Canary Islands,Canarias,ES70,2019 Second quarter,2019 Segundo trimestre,2019-Q2,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,272880,,,,,,
Canary Islands,Canarias,ES70,2019 Third quarter,2019 Tercer trimestre,2019-Q3,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,286839,,,,,,
Canary Islands,Canarias,ES70,2019 Fourth quarter,2019 Cuarto trimestre,2019-Q4,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,313143,,,,,,
Canary Islands,Canarias,ES70,2019,2019,2019,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,1134345,,,,,,
Canary Islands,Canarias,ES70,2020 First quarter,2020 Primer trimestre,2020-Q1,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,250128,,,,,,
Canary Islands,Canarias,ES70,2020 Second quarter,2020 Segundo trimestre,2020-Q2,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,,,,,Missing value; data cannot exist,Valor no disponible; el dato no existe,M
Canary Islands,Canarias,ES70,2020 Third quarter,2020 Tercer trimestre,2020-Q3,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,71603,,,,,,
Canary Islands,Canarias,ES70,2020 Fourth quarter,2020 Cuarto trimestre,2020-Q4,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,76082,,,,,,
Canary Islands,Canarias,ES70,2020,2020,2020,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,397813,,,,,,
Canary Islands,Canarias,ES70,2021 First quarter,2021 Primer trimestre,2021-Q1,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,38501,,,,,,
