MEDIDAS#es,MEDIDAS_CODE,EDAD#es,EDAD_CODE,PAIS_RESIDENCIA#es,PAIS_RESIDENCIA_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,SEXO#es,SEXO_CODE,TERRITORIO#es,TERRITORIO_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#es,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE,NOTAS_OBSERVACION
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2024 Tercer trimestre,2024-Q3,Total,_T,Canarias,ES70,634113,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2024 Cuarto trimestre,2024-Q4,Total,_T,Canarias,ES70,973729,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2024,2024,Total,_T,Canarias,ES70,3109071,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2025 Primer trimestre,2025-Q1,Total,_T,Canarias,ES70,922450,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2025 Segundo trimestre,2025-Q2,Total,_T,Canarias,ES70,756223,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2025 Tercer trimestre,2025-Q3,Total,_T,Canarias,ES70,626875,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2025 Cuarto trimestre,2025-Q4,Total,_T,Canarias,ES70,967188,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2025,2025,Total,_T,Canarias,ES70,3272736,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2018 Primer trimestre,2018-Q1,Total,_T,Canarias,ES70,121621,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2018 Segundo trimestre,2018-Q2,Total,_T,Canarias,ES70,156331,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2018 Tercer trimestre,2018-Q3,Total,_T,Canarias,ES70,187753,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2018 Cuarto trimestre,2018-Q4,Total,_T,Canarias,ES70,145598,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2018,2018,Total,_T,Canarias,ES70,611303,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2019 Primer trimestre,2019-Q1,Total,_T,Canarias,ES70,145947,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2019 Segundo trimestre,2019-Q2,Total,_T,Canarias,ES70,204523,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2019 Tercer trimestre,2019-Q3,Total,_T,Canarias,ES70,231595,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2019 Cuarto trimestre,2019-Q4,Total,_T,Canarias,ES70,157808,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2019,2019,Total,_T,Canarias,ES70,739872,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2020 Primer trimestre,2020-Q1,Total,_T,Canarias,ES70,120101,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2020 Segundo trimestre,2020-Q2,Total,_T,Canarias,ES70,,,Valor no disponible; el dato no existe,M,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2020 Tercer trimestre,2020-Q3,Total,_T,Canarias,ES70,98788,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2020 Cuarto trimestre,2020-Q4,Total,_T,Canarias,ES70,54828,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2020,2020,Total,_T,Canarias,ES70,273717,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2021 Primer trimestre,2021-Q1,Total,_T,Canarias,ES70,33061,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2021 Segundo trimestre,2021-Q2,Total,_T,Canarias,ES70,69314,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2021 Tercer trimestre,2021-Q3,Total,_T,Canarias,ES70,192332,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2021 Cuarto trimestre,2021-Q4,Total,_T,Canarias,ES70,138591,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2021,2021,Total,_T,Canarias,ES70,433297,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2022 Primer trimestre,2022-Q1,Total,_T,Canarias,ES70,114045,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2022 Segundo trimestre,2022-Q2,Total,_T,Canarias,ES70,159525,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2022 Tercer trimestre,2022-Q3,Total,_T,Canarias,ES70,208390,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2022 Cuarto trimestre,2022-Q4,Total,_T,Canarias,ES70,154665,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2022,2022,Total,_T,Canarias,ES70,636626,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2023 Primer trimestre,2023-Q1,Total,_T,Canarias,ES70,134558,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2023 Segundo trimestre,2023-Q2,Total,_T,Canarias,ES70,132785,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2023 Tercer trimestre,2023-Q3,Total,_T,Canarias,ES70,185699,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2023 Cuarto trimestre,2023-Q4,Total,_T,Canarias,ES70,140323,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2023,2023,Total,_T,Canarias,ES70,593366,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2024 Primer trimestre,2024-Q1,Total,_T,Canarias,ES70,133336,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2024 Segundo trimestre,2024-Q2,Total,_T,Canarias,ES70,136800,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2024 Tercer trimestre,2024-Q3,Total,_T,Canarias,ES70,167188,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2024 Cuarto trimestre,2024-Q4,Total,_T,Canarias,ES70,163922,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2024,2024,Total,_T,Canarias,ES70,601247,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2025 Primer trimestre,2025-Q1,Total,_T,Canarias,ES70,140113,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2025 Segundo trimestre,2025-Q2,Total,_T,Canarias,ES70,170048,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2025 Tercer trimestre,2025-Q3,Total,_T,Canarias,ES70,196980,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2025 Cuarto trimestre,2025-Q4,Total,_T,Canarias,ES70,175321,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,España (excluida Canarias),ES_XIC,2025,2025,Total,_T,Canarias,ES70,682461,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Alemania,DE,2018 Primer trimestre,2018-Q1,Total,_T,Canarias,ES70,488299,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Alemania,DE,2018 Segundo trimestre,2018-Q2,Total,_T,Canarias,ES70,345504,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Alemania,DE,2018 Tercer trimestre,2018-Q3,Total,_T,Canarias,ES70,251023,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Alemania,DE,2018 Cuarto trimestre,2018-Q4,Total,_T,Canarias,ES70,480059,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Alemania,DE,2018,2018,Total,_T,Canarias,ES70,1564886,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Alemania,DE,2019 Primer trimestre,2019-Q1,Total,_T,Canarias,ES70,459275,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Alemania,DE,2019 Segundo trimestre,2019-Q2,Total,_T,Canarias,ES70,300754,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Alemania,DE,2019 Tercer trimestre,2019-Q3,Total,_T,Canarias,ES70,212451,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Alemania,DE,2019 Cuarto trimestre,2019-Q4,Total,_T,Canarias,ES70,469828,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Alemania,DE,2019,2019,Total,_T,Canarias,ES70,1442309,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Alemania,DE,2020 Primer trimestre,2020-Q1,Total,_T,Canarias,ES70,395191,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Alemania,DE,2020 Segundo trimestre,2020-Q2,Total,_T,Canarias,ES70,,,Valor no disponible; el dato no existe,M,
Turistas,TURISTAS,44 años o más,Y_GE44,Alemania,DE,2020 Tercer trimestre,2020-Q3,Total,_T,Canarias,ES70,50724,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Alemania,DE,2020 Cuarto trimestre,2020-Q4,Total,_T,Canarias,ES70,68168,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Alemania,DE,2020,2020,Total,_T,Canarias,ES70,514083,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Alemania,DE,2021 Primer trimestre,2021-Q1,Total,_T,Canarias,ES70,49278,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Alemania,DE,2021 Segundo trimestre,2021-Q2,Total,_T,Canarias,ES70,72603,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Alemania,DE,2021 Tercer trimestre,2021-Q3,Total,_T,Canarias,ES70,119096,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Alemania,DE,2021 Cuarto trimestre,2021-Q4,Total,_T,Canarias,ES70,327673,,,,
