PAIS_RESIDENCIA#es,PAIS_RESIDENCIA_CODE,TERRITORIO#es,TERRITORIO_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,NIVEL_INGRESOS#es,NIVEL_INGRESOS_CODE,MEDIDAS#es,MEDIDAS_CODE,OBS_VALUE,NOTAS_OBSERVACION,CONFIDENCIALIDAD_OBSERVACION#es,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE
España (excluida Canarias),ES_XIC,Gran Canaria,ES705,2019 Cuarto trimestre,2019-Q4,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,18787,,,,
España (excluida Canarias),ES_XIC,Gran Canaria,ES705,2019,2019,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,68169,,,,
España (excluida Canarias),ES_XIC,Gran Canaria,ES705,2020 Primer trimestre,2020-Q1,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,14704,,,,
España (excluida Canarias),ES_XIC,Gran Canaria,ES705,2020 Segundo trimestre,2020-Q2,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,,,,Valor no disponible; el dato no existe,M
España (excluida Canarias),ES_XIC,Gran Canaria,ES705,2020 Tercer trimestre,2020-Q3,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,6526,,,,
España (excluida Canarias),ES_XIC,Gran Canaria,ES705,2020 Cuarto trimestre,2020-Q4,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,6574,,,,
España (excluida Canarias),ES_XIC,Gran Canaria,ES705,2020,2020,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,27804,,,,
España (excluida Canarias),ES_XIC,Gran Canaria,ES705,2021 Primer trimestre,2021-Q1,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,5873,,,,
España (excluida Canarias),ES_XIC,Gran Canaria,ES705,2021 Segundo trimestre,2021-Q2,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,8378,,,,
España (excluida Canarias),ES_XIC,Gran Canaria,ES705,2021 Tercer trimestre,2021-Q3,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,12837,,,,
España (excluida Canarias),ES_XIC,Gran Canaria,ES705,2021 Cuarto trimestre,2021-Q4,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,12111,,,,
España (excluida Canarias),ES_XIC,Gran Canaria,ES705,2021,2021,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,39199,,,,
España (excluida Canarias),ES_XIC,Gran Canaria,ES705,2022 Primer trimestre,2022-Q1,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,12297,,,,
España (excluida Canarias),ES_XIC,Gran Canaria,ES705,2022 Segundo trimestre,2022-Q2,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,15164,,,,
España (excluida Canarias),ES_XIC,Gran Canaria,ES705,2022 Tercer trimestre,2022-Q3,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,15791,,,,
España (excluida Canarias),ES_XIC,Gran Canaria,ES705,2022 Cuarto trimestre,2022-Q4,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,13961,,,,
España (excluida Canarias),ES_XIC,Gran Canaria,ES705,2022,2022,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,57214,,,,
España (excluida Canarias),ES_XIC,Gran Canaria,ES705,2023 Primer trimestre,2023-Q1,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,13716,,,,
España (excluida Canarias),ES_XIC,Gran Canaria,ES705,2023 Segundo trimestre,2023-Q2,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,17175,,,,
España (excluida Canarias),ES_XIC,Gran Canaria,ES705,2023 Tercer trimestre,2023-Q3,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,13229,,,,
España (excluida Canarias),ES_XIC,Gran Canaria,ES705,2023 Cuarto trimestre,2023-Q4,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,18259,,,,
España (excluida Canarias),ES_XIC,Gran Canaria,ES705,2023,2023,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,62379,,,,
España (excluida Canarias),ES_XIC,Gran Canaria,ES705,2024 Primer trimestre,2024-Q1,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,17229,,,,
España (excluida Canarias),ES_XIC,Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,14332,,,,
España (excluida Canarias),ES_XIC,Gran Canaria,ES705,2024 Tercer trimestre,2024-Q3,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,17491,,,,
España (excluida Canarias),ES_XIC,Gran Canaria,ES705,2024 Cuarto trimestre,2024-Q4,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,18695,,,,
España (excluida Canarias),ES_XIC,Gran Canaria,ES705,2024,2024,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,67747,,,,
España (excluida Canarias),ES_XIC,Gran Canaria,ES705,2025 Primer trimestre,2025-Q1,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,15777,,,,
España (excluida Canarias),ES_XIC,Gran Canaria,ES705,2025 Segundo trimestre,2025-Q2,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,18835,,,,
España (excluida Canarias),ES_XIC,Gran Canaria,ES705,2025 Tercer trimestre,2025-Q3,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,18692,,,,
España (excluida Canarias),ES_XIC,Gran Canaria,ES705,2025 Cuarto trimestre,2025-Q4,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,19317,,,,
España (excluida Canarias),ES_XIC,Gran Canaria,ES705,2025,2025,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,72622,,,,
Alemania,DE,Gran Canaria,ES705,2018 Primer trimestre,2018-Q1,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,65652,,,,
Alemania,DE,Gran Canaria,ES705,2018 Segundo trimestre,2018-Q2,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,42863,,,,
Alemania,DE,Gran Canaria,ES705,2018 Tercer trimestre,2018-Q3,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,30099,,,,
Alemania,DE,Gran Canaria,ES705,2018 Cuarto trimestre,2018-Q4,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,71528,,,,
Alemania,DE,Gran Canaria,ES705,2018,2018,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,210142,,,,
Alemania,DE,Gran Canaria,ES705,2019 Primer trimestre,2019-Q1,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,62565,,,,
Alemania,DE,Gran Canaria,ES705,2019 Segundo trimestre,2019-Q2,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,35357,,,,
Alemania,DE,Gran Canaria,ES705,2019 Tercer trimestre,2019-Q3,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,27473,,,,
Alemania,DE,Gran Canaria,ES705,2019 Cuarto trimestre,2019-Q4,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,60861,,,,
Alemania,DE,Gran Canaria,ES705,2019,2019,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,186256,,,,
Alemania,DE,Gran Canaria,ES705,2020 Primer trimestre,2020-Q1,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,50917,,,,
Alemania,DE,Gran Canaria,ES705,2020 Segundo trimestre,2020-Q2,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,,,,Valor no disponible; el dato no existe,M
Alemania,DE,Gran Canaria,ES705,2020 Tercer trimestre,2020-Q3,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,6749,,,,
Alemania,DE,Gran Canaria,ES705,2020 Cuarto trimestre,2020-Q4,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,14751,,,,
Alemania,DE,Gran Canaria,ES705,2020,2020,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,72418,,,,
Alemania,DE,Gran Canaria,ES705,2021 Primer trimestre,2021-Q1,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,10242,,,,
Alemania,DE,Gran Canaria,ES705,2021 Segundo trimestre,2021-Q2,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,16392,,,,
Alemania,DE,Gran Canaria,ES705,2021 Tercer trimestre,2021-Q3,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,16973,,,,
Alemania,DE,Gran Canaria,ES705,2021 Cuarto trimestre,2021-Q4,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,51343,,,,
Alemania,DE,Gran Canaria,ES705,2021,2021,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,94951,,,,
Alemania,DE,Gran Canaria,ES705,2022 Primer trimestre,2022-Q1,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,42276,,,,
Alemania,DE,Gran Canaria,ES705,2022 Segundo trimestre,2022-Q2,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,36793,,,,
Alemania,DE,Gran Canaria,ES705,2022 Tercer trimestre,2022-Q3,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,21778,,,,
Alemania,DE,Gran Canaria,ES705,2022 Cuarto trimestre,2022-Q4,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,56479,,,,
Alemania,DE,Gran Canaria,ES705,2022,2022,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,157325,,,,
Alemania,DE,Gran Canaria,ES705,2023 Primer trimestre,2023-Q1,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,66637,,,,
Alemania,DE,Gran Canaria,ES705,2023 Segundo trimestre,2023-Q2,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,43659,,,,
Alemania,DE,Gran Canaria,ES705,2023 Tercer trimestre,2023-Q3,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,38681,,,,
Alemania,DE,Gran Canaria,ES705,2023 Cuarto trimestre,2023-Q4,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,56845,,,,
Alemania,DE,Gran Canaria,ES705,2023,2023,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,205822,,,,
Alemania,DE,Gran Canaria,ES705,2024 Primer trimestre,2024-Q1,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,67679,,,,
Alemania,DE,Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,32382,,,,
Alemania,DE,Gran Canaria,ES705,2024 Tercer trimestre,2024-Q3,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,34857,,,,
Alemania,DE,Gran Canaria,ES705,2024 Cuarto trimestre,2024-Q4,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,68730,,,,
Alemania,DE,Gran Canaria,ES705,2024,2024,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,203648,,,,
Alemania,DE,Gran Canaria,ES705,2025 Primer trimestre,2025-Q1,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,87800,,,,
Alemania,DE,Gran Canaria,ES705,2025 Segundo trimestre,2025-Q2,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,37742,,,,
Alemania,DE,Gran Canaria,ES705,2025 Tercer trimestre,2025-Q3,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,34384,,,,
Alemania,DE,Gran Canaria,ES705,2025 Cuarto trimestre,2025-Q4,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,92244,,,,
Alemania,DE,Gran Canaria,ES705,2025,2025,75.000€ o más,EUR_GE75000,Turistas,TURISTAS,252170,,,,
Total,_T,Gran Canaria,ES705,2018 Primer trimestre,2018-Q1,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,293488,,,,
Total,_T,Gran Canaria,ES705,2018 Segundo trimestre,2018-Q2,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,203974,,,,
Total,_T,Gran Canaria,ES705,2018 Tercer trimestre,2018-Q3,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,206976,,,,
Total,_T,Gran Canaria,ES705,2018 Cuarto trimestre,2018-Q4,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,284777,,,,
Total,_T,Gran Canaria,ES705,2018,2018,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,989215,,,,
Total,_T,Gran Canaria,ES705,2019 Primer trimestre,2019-Q1,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,260047,,,,
Total,_T,Gran Canaria,ES705,2019 Segundo trimestre,2019-Q2,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,171521,,,,
Total,_T,Gran Canaria,ES705,2019 Tercer trimestre,2019-Q3,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,174015,,,,
Total,_T,Gran Canaria,ES705,2019 Cuarto trimestre,2019-Q4,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,293826,,,,
Total,_T,Gran Canaria,ES705,2019,2019,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,899409,,,,
Total,_T,Gran Canaria,ES705,2020 Primer trimestre,2020-Q1,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,212111,,,,
Total,_T,Gran Canaria,ES705,2020 Segundo trimestre,2020-Q2,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,,,,Valor no disponible; el dato no existe,M
Total,_T,Gran Canaria,ES705,2020 Tercer trimestre,2020-Q3,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,36582,,,,
Total,_T,Gran Canaria,ES705,2020 Cuarto trimestre,2020-Q4,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,42848,,,,
Total,_T,Gran Canaria,ES705,2020,2020,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,291541,,,,
Total,_T,Gran Canaria,ES705,2021 Primer trimestre,2021-Q1,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,21477,,,,
Total,_T,Gran Canaria,ES705,2021 Segundo trimestre,2021-Q2,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,43867,,,,
Total,_T,Gran Canaria,ES705,2021 Tercer trimestre,2021-Q3,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,97635,,,,
Total,_T,Gran Canaria,ES705,2021 Cuarto trimestre,2021-Q4,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,206728,,,,
Total,_T,Gran Canaria,ES705,2021,2021,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,369706,,,,
Total,_T,Gran Canaria,ES705,2022 Primer trimestre,2022-Q1,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,208111,,,,
Total,_T,Gran Canaria,ES705,2022 Segundo trimestre,2022-Q2,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,174410,,,,
Total,_T,Gran Canaria,ES705,2022 Tercer trimestre,2022-Q3,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,214870,,,,
Total,_T,Gran Canaria,ES705,2022 Cuarto trimestre,2022-Q4,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,276912,,,,
Total,_T,Gran Canaria,ES705,2022,2022,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,874304,,,,
Total,_T,Gran Canaria,ES705,2023 Primer trimestre,2023-Q1,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,272782,,,,
Total,_T,Gran Canaria,ES705,2023 Segundo trimestre,2023-Q2,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,182345,,,,
Total,_T,Gran Canaria,ES705,2023 Tercer trimestre,2023-Q3,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,193182,,,,
Total,_T,Gran Canaria,ES705,2023 Cuarto trimestre,2023-Q4,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,296609,,,,
Total,_T,Gran Canaria,ES705,2023,2023,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,944918,,,,
Total,_T,Gran Canaria,ES705,2024 Primer trimestre,2024-Q1,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,328608,,,,
Total,_T,Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,215278,,,,
Total,_T,Gran Canaria,ES705,2024 Tercer trimestre,2024-Q3,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,195698,,,,
Total,_T,Gran Canaria,ES705,2024 Cuarto trimestre,2024-Q4,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,337243,,,,
Total,_T,Gran Canaria,ES705,2024,2024,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,1076826,,,,
Total,_T,Gran Canaria,ES705,2025 Primer trimestre,2025-Q1,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,308278,,,,
Total,_T,Gran Canaria,ES705,2025 Segundo trimestre,2025-Q2,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,229341,,,,
Total,_T,Gran Canaria,ES705,2025 Tercer trimestre,2025-Q3,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,224397,,,,
Total,_T,Gran Canaria,ES705,2025 Cuarto trimestre,2025-Q4,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,301572,,,,
Total,_T,Gran Canaria,ES705,2025,2025,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,1063797,,,,
Otro,_O,Gran Canaria,ES705,2018 Primer trimestre,2018-Q1,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,170597,,,,
Otro,_O,Gran Canaria,ES705,2018 Segundo trimestre,2018-Q2,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,83872,,,,
Otro,_O,Gran Canaria,ES705,2018 Tercer trimestre,2018-Q3,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,78120,,,,
Otro,_O,Gran Canaria,ES705,2018 Cuarto trimestre,2018-Q4,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,149075,,,,
Otro,_O,Gran Canaria,ES705,2018,2018,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,481664,,,,
Otro,_O,Gran Canaria,ES705,2019 Primer trimestre,2019-Q1,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,153274,,,,
Otro,_O,Gran Canaria,ES705,2019 Segundo trimestre,2019-Q2,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,71068,,,,
Otro,_O,Gran Canaria,ES705,2019 Tercer trimestre,2019-Q3,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,69836,,,,
Otro,_O,Gran Canaria,ES705,2019 Cuarto trimestre,2019-Q4,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,160852,,,,
Otro,_O,Gran Canaria,ES705,2019,2019,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,455029,,,,
Otro,_O,Gran Canaria,ES705,2020 Primer trimestre,2020-Q1,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,115502,,,,
Otro,_O,Gran Canaria,ES705,2020 Segundo trimestre,2020-Q2,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,,,,Valor no disponible; el dato no existe,M
Otro,_O,Gran Canaria,ES705,2020 Tercer trimestre,2020-Q3,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,10983,,,,
Otro,_O,Gran Canaria,ES705,2020 Cuarto trimestre,2020-Q4,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,14041,,,,
Otro,_O,Gran Canaria,ES705,2020,2020,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,140526,,,,
Otro,_O,Gran Canaria,ES705,2021 Primer trimestre,2021-Q1,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,9011,,,,
Otro,_O,Gran Canaria,ES705,2021 Segundo trimestre,2021-Q2,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,14443,,,,
Otro,_O,Gran Canaria,ES705,2021 Tercer trimestre,2021-Q3,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,40710,,,,
Otro,_O,Gran Canaria,ES705,2021 Cuarto trimestre,2021-Q4,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,106069,,,,
Otro,_O,Gran Canaria,ES705,2021,2021,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,170233,,,,
Otro,_O,Gran Canaria,ES705,2022 Primer trimestre,2022-Q1,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,115172,,,,
Otro,_O,Gran Canaria,ES705,2022 Segundo trimestre,2022-Q2,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,78922,,,,
Otro,_O,Gran Canaria,ES705,2022 Tercer trimestre,2022-Q3,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,85900,,,,
Otro,_O,Gran Canaria,ES705,2022 Cuarto trimestre,2022-Q4,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,142220,,,,
Otro,_O,Gran Canaria,ES705,2022,2022,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,422214,,,,
Otro,_O,Gran Canaria,ES705,2023 Primer trimestre,2023-Q1,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,152615,,,,
Otro,_O,Gran Canaria,ES705,2023 Segundo trimestre,2023-Q2,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,78605,,,,
Otro,_O,Gran Canaria,ES705,2023 Tercer trimestre,2023-Q3,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,74506,,,,
Otro,_O,Gran Canaria,ES705,2023 Cuarto trimestre,2023-Q4,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,152821,,,,
Otro,_O,Gran Canaria,ES705,2023,2023,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,458547,,,,
Otro,_O,Gran Canaria,ES705,2024 Primer trimestre,2024-Q1,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,176228,,,,
Otro,_O,Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,93351,,,,
Otro,_O,Gran Canaria,ES705,2024 Tercer trimestre,2024-Q3,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,81409,,,,
Otro,_O,Gran Canaria,ES705,2024 Cuarto trimestre,2024-Q4,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,169922,,,,
Otro,_O,Gran Canaria,ES705,2024,2024,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,520910,,,,
Otro,_O,Gran Canaria,ES705,2025 Primer trimestre,2025-Q1,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,165787,,,,
Otro,_O,Gran Canaria,ES705,2025 Segundo trimestre,2025-Q2,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,97134,,,,
Otro,_O,Gran Canaria,ES705,2025 Tercer trimestre,2025-Q3,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,95788,,,,
Otro,_O,Gran Canaria,ES705,2025 Cuarto trimestre,2025-Q4,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,148747,,,,
Otro,_O,Gran Canaria,ES705,2025,2025,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,507456,,,,
Reino Unido,GB,Gran Canaria,ES705,2018 Primer trimestre,2018-Q1,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,32558,,,,
Reino Unido,GB,Gran Canaria,ES705,2018 Segundo trimestre,2018-Q2,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,44175,,,,
Reino Unido,GB,Gran Canaria,ES705,2018 Tercer trimestre,2018-Q3,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,47392,,,,
Reino Unido,GB,Gran Canaria,ES705,2018 Cuarto trimestre,2018-Q4,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,47404,,,,
Reino Unido,GB,Gran Canaria,ES705,2018,2018,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,171528,,,,
Reino Unido,GB,Gran Canaria,ES705,2019 Primer trimestre,2019-Q1,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,28544,,,,
Reino Unido,GB,Gran Canaria,ES705,2019 Segundo trimestre,2019-Q2,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,33250,,,,
Reino Unido,GB,Gran Canaria,ES705,2019 Tercer trimestre,2019-Q3,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,37576,,,,
Reino Unido,GB,Gran Canaria,ES705,2019 Cuarto trimestre,2019-Q4,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,37946,,,,
Reino Unido,GB,Gran Canaria,ES705,2019,2019,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,137317,,,,
Reino Unido,GB,Gran Canaria,ES705,2020 Primer trimestre,2020-Q1,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,25007,,,,
Reino Unido,GB,Gran Canaria,ES705,2020 Segundo trimestre,2020-Q2,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,,,,Valor no disponible; el dato no existe,M
Reino Unido,GB,Gran Canaria,ES705,2020 Tercer trimestre,2020-Q3,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,3247,,,,
Reino Unido,GB,Gran Canaria,ES705,2020 Cuarto trimestre,2020-Q4,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,4277,,,,
Reino Unido,GB,Gran Canaria,ES705,2020,2020,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,32531,,,,
Reino Unido,GB,Gran Canaria,ES705,2021 Primer trimestre,2021-Q1,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,396,Dato estimado con menos de 20 observaciones muestrales,,,
Reino Unido,GB,Gran Canaria,ES705,2021 Segundo trimestre,2021-Q2,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,79,Dato estimado con menos de 20 observaciones muestrales,,,
Reino Unido,GB,Gran Canaria,ES705,2021 Tercer trimestre,2021-Q3,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,9043,,,,
Reino Unido,GB,Gran Canaria,ES705,2021 Cuarto trimestre,2021-Q4,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,28947,,,,
Reino Unido,GB,Gran Canaria,ES705,2021,2021,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,38464,,,,
Reino Unido,GB,Gran Canaria,ES705,2022 Primer trimestre,2022-Q1,De 50.000€ hasta 74.999€,EUR_50000T74999,Turistas,TURISTAS,33668,,,,
