PAIS_RESIDENCIA#es,PAIS_RESIDENCIA_CODE,TERRITORIO#es,TERRITORIO_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,NIVEL_INGRESOS#es,NIVEL_INGRESOS_CODE,MEDIDAS#es,MEDIDAS_CODE,OBS_VALUE,NOTAS_OBSERVACION,CONFIDENCIALIDAD_OBSERVACION#es,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE
Reino Unido,GB,Canarias,ES70,2019 Primer trimestre,2019-Q1,Total,_T,Turistas,TURISTAS,1045787,,,,
Reino Unido,GB,Canarias,ES70,2019 Segundo trimestre,2019-Q2,Total,_T,Turistas,TURISTAS,1078102,,,,
Reino Unido,GB,Canarias,ES70,2019 Tercer trimestre,2019-Q3,Total,_T,Turistas,TURISTAS,1075078,,,,
Reino Unido,GB,Canarias,ES70,2019 Cuarto trimestre,2019-Q4,Total,_T,Turistas,TURISTAS,1108217,,,,
Reino Unido,GB,Canarias,ES70,2019,2019,Total,_T,Turistas,TURISTAS,4307184,,,,
Reino Unido,GB,Canarias,ES70,2020 Primer trimestre,2020-Q1,Total,_T,Turistas,TURISTAS,798605,,,,
Reino Unido,GB,Canarias,ES70,2020 Segundo trimestre,2020-Q2,Total,_T,Turistas,TURISTAS,,,,Valor no disponible; el dato no existe,M
Reino Unido,GB,Canarias,ES70,2020 Tercer trimestre,2020-Q3,Total,_T,Turistas,TURISTAS,109494,,,,
Reino Unido,GB,Canarias,ES70,2020 Cuarto trimestre,2020-Q4,Total,_T,Turistas,TURISTAS,137349,,,,
Reino Unido,GB,Canarias,ES70,2020,2020,Total,_T,Turistas,TURISTAS,1045448,,,,
Reino Unido,GB,Canarias,ES70,2021 Primer trimestre,2021-Q1,Total,_T,Turistas,TURISTAS,6765,,,,
Reino Unido,GB,Canarias,ES70,2021 Segundo trimestre,2021-Q2,Total,_T,Turistas,TURISTAS,16948,,,,
Reino Unido,GB,Canarias,ES70,2021 Tercer trimestre,2021-Q3,Total,_T,Turistas,TURISTAS,305662,,,,
Reino Unido,GB,Canarias,ES70,2021 Cuarto trimestre,2021-Q4,Total,_T,Turistas,TURISTAS,755254,,,,
Reino Unido,GB,Canarias,ES70,2021,2021,Total,_T,Turistas,TURISTAS,1084629,,,,
Reino Unido,GB,Canarias,ES70,2022 Primer trimestre,2022-Q1,Total,_T,Turistas,TURISTAS,868426,,,,
Reino Unido,GB,Canarias,ES70,2022 Segundo trimestre,2022-Q2,Total,_T,Turistas,TURISTAS,1108822,,,,
Reino Unido,GB,Canarias,ES70,2022 Tercer trimestre,2022-Q3,Total,_T,Turistas,TURISTAS,1126512,,,,
Reino Unido,GB,Canarias,ES70,2022 Cuarto trimestre,2022-Q4,Total,_T,Turistas,TURISTAS,1183609,,,,
Reino Unido,GB,Canarias,ES70,2022,2022,Total,_T,Turistas,TURISTAS,4287369,,,,
Reino Unido,GB,Canarias,ES70,2023 Primer trimestre,2023-Q1,Total,_T,Turistas,TURISTAS,1144580,,,,
Reino Unido,GB,Canarias,ES70,2023 Segundo trimestre,2023-Q2,Total,_T,Turistas,TURISTAS,1129743,,,,
Reino Unido,GB,Canarias,ES70,2023 Tercer trimestre,2023-Q3,Total,_T,Turistas,TURISTAS,1198562,,,,
Reino Unido,GB,Canarias,ES70,2023 Cuarto trimestre,2023-Q4,Total,_T,Turistas,TURISTAS,1337824,,,,
Reino Unido,GB,Canarias,ES70,2023,2023,Total,_T,Turistas,TURISTAS,4810709,,,,
Reino Unido,GB,Canarias,ES70,2024 Primer trimestre,2024-Q1,Total,_T,Turistas,TURISTAS,1335824,,,,
Reino Unido,GB,Canarias,ES70,2024 Segundo trimestre,2024-Q2,Total,_T,Turistas,TURISTAS,1259057,,,,
Reino Unido,GB,Canarias,ES70,2024 Tercer trimestre,2024-Q3,Total,_T,Turistas,TURISTAS,1298982,,,,
